Hour,Demand
1,1221.95528
2,2528.51488
3,2548.53888
4,2448.29376
5,2359.2256
6,2101.34688
7,1855.42944
8,1670.91424
9,1518.13856
10,1436.92192
11,1430.31648
12,1471.3392
13,1621.71968
14,1834.39808
15,2046.40864
16,1953.49984
17,970.04984
18,473.91616
19,155.45968
20,45.10976
21,0
22,0
23,0
24,337.16112
25,1057.5312
26,2401.44416
27,2437.24576
28,2347.22336
29,2285.91776
30,2094.81344
31,1806.5344
32,1533.37632
33,1378.40864
34,1299.88256
35,1355.07776
36,1465.50016
37,1659.0992
38,1908.4784
39,2153.6032
40,1987.88104
41,1084.86624
42,588.06608
43,303.87776
44,144.66928
45,70.00872
46,0
47,238.47368
48,630.35992
49,1308.2024
50,2546.848
51,2597.79328
52,2557.89088
53,2446.23008
54,2305.304
55,2058.58144
56,1710.78784
57,1528.33088
58,1441.35744
59,1428.21376
60,1496.95648
61,1682
62,1979.6384
63,2333.79904
64,2484.99496
65,1541.8036
66,1094.5748
67,809.42136
68,441.16672
69,201.8372
70,203.98168
71,375.5292
72,765.16648
73,1445.96648
74,2677.15456
75,2702.8528
76,2628.7808
77,2584.95648
78,2313.96384
79,1955.7952
80,1697.34304
81,1557.4848
82,1460.0864
83,1460.89664
84,1515.92128
85,1701.55328
86,1985.55392
87,2397.5504
88,2408.88232
89,1571.5244
90,1141.7296
91,918.9504
92,528.71104
93,230.7488
94,205.01448
95,342.19224
96,743.00736
97,1474.8716
98,2722.33376
99,2677.15136
100,2618.09472
101,2555.81888
102,2381.90432
103,2030.84096
104,1748.68768
105,1618.91552
106,1504.61344
107,1514.42464
108,1601.51744
109,1766.8608
110,2048.73088
111,2428.07072
112,2591.15424
113,1747.4
114,1128.04144
115,849.18936
116,466.6696
117,172.28136
118,269.8344
119,352.6796
120,694.42408
121,1384.86536
122,2694.9808
123,2732.71712
124,2646.81632
125,2548.23808
126,2329.0528
127,2010.86848
128,1758.73888
129,1632.03488
130,1535.2192
131,1532.47392
132,1579.69152
133,1756.5808
134,2039.50304
135,2411.7056
136,2464.606
137,1537.81944
138,1078.94536
139,795.6
140,411.88472
141,123.73512
142,78.46872
143,269.49112
144,639.21944
145,1351.35
146,2647.65088
147,2664
148,2580.43328
149,2511.51936
150,2284.47104
151,1988.9856
152,1770.09728
