,Z21
2005-01-01 00:00:00,27.886035957115837
2005-01-01 01:00:00,11.36193815097431
2005-01-01 02:00:00,-17.39690202579277
2005-01-01 03:00:00,-59.75197763440451
2005-01-01 04:00:00,-74.39449959663966
2005-01-01 05:00:00,-173.32039498508652
2005-01-01 06:00:00,-285.7454425345418
2005-01-01 07:00:00,-413.1556028865798
2005-01-01 08:00:00,-408.1651704440294
2005-01-01 09:00:00,-264.03575936835796
2005-01-01 10:00:00,-170.01947643111612
2005-01-01 11:00:00,-78.04165382521296
2005-01-01 12:00:00,-52.78098679087179
2005-01-01 13:00:00,-80.66718702933349
2005-01-01 14:00:00,-108.16847556704192
2005-01-01 15:00:00,-165.94049523922808
2005-01-01 16:00:00,-112.38681698038272
2005-01-01 17:00:00,28.104946327452126
2005-01-01 18:00:00,-75.72389997127448
2005-01-01 19:00:00,-136.69183348385195
2005-01-01 20:00:00,-196.28822371238311
2005-01-01 21:00:00,-236.3541092203418
2005-01-01 22:00:00,-204.44464334005852
2005-01-01 23:00:00,-179.2017247130043
2005-01-02 00:00:00,-190.86388166840788
2005-01-02 01:00:00,-133.6965552212348
2005-01-02 02:00:00,-152.87268789880022
2005-01-02 03:00:00,-124.16192088650087
2005-01-02 04:00:00,-98.77681917954942
2005-01-02 05:00:00,-127.84386109292882
2005-01-02 06:00:00,-152.57074881726862
2005-01-02 07:00:00,-184.73248996557913
2005-01-02 08:00:00,-165.46544246317671
2005-01-02 09:00:00,-106.15573188617691
2005-01-02 10:00:00,-52.094306221928946
2005-01-02 11:00:00,-23.61439405557303
2005-01-02 12:00:00,24.3957852712806
2005-01-02 13:00:00,25.25123469327127
2005-01-02 14:00:00,5.587116501543733
2005-01-02 15:00:00,14.011898933350949
2005-01-02 16:00:00,23.975073017051727
2005-01-02 17:00:00,112.75956645757788
2005-01-02 18:00:00,87.9204329346112
2005-01-02 19:00:00,15.045398531710362
2005-01-02 20:00:00,-49.29581556283256
2005-01-02 21:00:00,-89.84082289546996
2005-01-02 22:00:00,-65.20982148382086
2005-01-02 23:00:00,-105.30019594386295
2005-01-03 00:00:00,-74.516836527245
2005-01-03 01:00:00,-63.071207440668104
2005-01-03 02:00:00,-82.12932163899836
2005-01-03 03:00:00,-40.59161232071051
2005-01-03 04:00:00,-34.055230239691355
2005-01-03 05:00:00,-28.59303632376077
2005-01-03 06:00:00,-33.64809068877048
2005-01-03 07:00:00,-28.550739839142807
2005-01-03 08:00:00,-114.27813418033747
2005-01-03 09:00:00,-119.65390220956715
2005-01-03 10:00:00,-111.37755740389343
2005-01-03 11:00:00,-79.94326785550402
2005-01-03 12:00:00,-47.25373025950421
2005-01-03 13:00:00,-29.693399379832954
2005-01-03 14:00:00,-36.17500374890324
2005-01-03 15:00:00,-47.48959858469425
2005-01-03 16:00:00,-2.1017546461257552
2005-01-03 17:00:00,92.64723612845637
2005-01-03 18:00:00,85.69077428123
2005-01-03 19:00:00,41.217949539603524
2005-01-03 20:00:00,-89.77774057036959
2005-01-03 21:00:00,-116.95814932371673
2005-01-03 22:00:00,-62.55171578806721
2005-01-03 23:00:00,-33.594082495523935
2005-01-04 00:00:00,-46.30016818180479
2005-01-04 01:00:00,-46.53753099621122
2005-01-04 02:00:00,-39.01853516596475
2005-01-04 03:00:00,-27.293430971069483
2005-01-04 04:00:00,-10.859366943340774
2005-01-04 05:00:00,-14.926253042972348
2005-01-04 06:00:00,46.18063210127866
2005-01-04 07:00:00,51.03231566819977
2005-01-04 08:00:00,-31.184996946861702
2005-01-04 09:00:00,-77.82605036582345
2005-01-04 10:00:00,-50.00720469819498
2005-01-04 11:00:00,-9.532828881081286
2005-01-04 12:00:00,-19.666095078438047
2005-01-04 13:00:00,-36.08408655429321
2005-01-04 14:00:00,-39.8507358535187
2005-01-04 15:00:00,-72.71652935490397
2005-01-04 16:00:00,-24.553618610432295
2005-01-04 17:00:00,39.977270370788574
2005-01-04 18:00:00,9.835048257449216
2005-01-04 19:00:00,-75.49757444230636
2005-01-04 20:00:00,-143.57969008599184
2005-01-04 21:00:00,-177.5927738879775
2005-01-04 22:00:00,-119.85744521616425
2005-01-04 23:00:00,-79.66917844801219
2005-01-05 00:00:00,-81.13212071321163
2005-01-05 01:00:00,-81.84514931262083
2005-01-05 02:00:00,-113.00500922786478
2005-01-05 03:00:00,-119.26385605645783
2005-01-05 04:00:00,-132.83124723191645
2005-01-05 05:00:00,-135.21137796456424
2005-01-05 06:00:00,-91.3201107725854
2005-01-05 07:00:00,-96.22320578538938
2005-01-05 08:00:00,-162.74224465479028
2005-01-05 09:00:00,-130.60226031976936
2005-01-05 10:00:00,-87.8438014475928
2005-01-05 11:00:00,-51.035023051696044
2005-01-05 12:00:00,-15.009192478399427
2005-01-05 13:00:00,24.705269721068362
2005-01-05 14:00:00,38.637666351641656
2005-01-05 15:00:00,51.93595186177413
2005-01-05 16:00:00,84.4975758662872
2005-01-05 17:00:00,39.778317413194145
2005-01-05 18:00:00,-53.200632879082605
2005-01-05 19:00:00,-80.53582801580797
2005-01-05 20:00:00,-117.48906885103634
2005-01-05 21:00:00,-132.83526305219584
2005-01-05 22:00:00,-61.354687576409106
2005-01-05 23:00:00,-69.84100903580133
2005-01-06 00:00:00,-74.47041608210816
2005-01-06 01:00:00,-64.17721497154798
2005-01-06 02:00:00,-66.81181590777715
2005-01-06 03:00:00,-45.03317690257359
2005-01-06 04:00:00,-11.615142651393171
2005-01-06 05:00:00,-46.10501803144098
2005-01-06 06:00:00,-35.81537370403248
2005-01-06 07:00:00,-2.7414101538420255
2005-01-06 08:00:00,-36.35462290465739
2005-01-06 09:00:00,-81.79632276212214
2005-01-06 10:00:00,-37.11444385729328
2005-01-06 11:00:00,25.50841833297318
2005-01-06 12:00:00,90.43583355296664
2005-01-06 13:00:00,104.73795563390831
2005-01-06 14:00:00,131.05856662936117
2005-01-06 15:00:00,120.01915277278681
2005-01-06 16:00:00,124.91817304091956
2005-01-06 17:00:00,210.28478543921756
2005-01-06 18:00:00,137.27696027338698
2005-01-06 19:00:00,89.48340279328477
2005-01-06 20:00:00,28.407028855081535
2005-01-06 21:00:00,13.726408628874651
2005-01-06 22:00:00,23.98063946377465
2005-01-06 23:00:00,49.6848154173897
2005-01-07 00:00:00,59.55502255351303
2005-01-07 01:00:00,70.68839378908751
2005-01-07 02:00:00,48.19166717841131
2005-01-07 03:00:00,38.36968413554109
2005-01-07 04:00:00,58.072882056413846
2005-01-07 05:00:00,8.166530968112966
2005-01-07 06:00:00,-3.601500253598715
2005-01-07 07:00:00,-47.44264421256503
2005-01-07 08:00:00,-119.12079660955669
2005-01-07 09:00:00,-107.26519926464516
2005-01-07 10:00:00,-94.20432120003215
2005-01-07 11:00:00,-112.77156629122146
2005-01-07 12:00:00,-100.48160248473368
2005-01-07 13:00:00,-64.11371603520274
2005-01-07 14:00:00,-40.95592242209841
2005-01-07 15:00:00,-5.057363816967154
2005-01-07 16:00:00,2.7419093025891925
2005-01-07 17:00:00,24.59914253110901
2005-01-07 18:00:00,-10.365526456472253
2005-01-07 19:00:00,3.696645344204626
2005-01-07 20:00:00,-22.448717558869703
2005-01-07 21:00:00,-65.75809213455386
2005-01-07 22:00:00,-57.42935960330533
2005-01-07 23:00:00,-78.4658368801579
2005-01-08 00:00:00,-63.68824317790609
2005-01-08 01:00:00,-51.60847802574881
2005-01-08 02:00:00,-31.324683863281507
2005-01-08 03:00:00,-36.218894763320804
2005-01-08 04:00:00,-44.59222302409057
2005-01-08 05:00:00,-75.37797247768276
2005-01-08 06:00:00,-102.61253170855548
2005-01-08 07:00:00,-133.37217858706072
2005-01-08 08:00:00,-102.39397023341553
2005-01-08 09:00:00,-42.83889218610193
2005-01-08 10:00:00,16.387306047176935
2005-01-08 11:00:00,11.151583394334466
2005-01-08 12:00:00,-23.852023333514808
2005-01-08 13:00:00,-10.64788595392497
2005-01-08 14:00:00,-36.81837627565801
2005-01-08 15:00:00,-69.34145397872794
2005-01-08 16:00:00,-17.540396591322406
2005-01-08 17:00:00,42.95903010468828
2005-01-08 18:00:00,-18.316385829876708
2005-01-08 19:00:00,-44.95613356102331
2005-01-08 20:00:00,-48.23906102067576
2005-01-08 21:00:00,-66.27095215882537
2005-01-08 22:00:00,-104.83057436750323
2005-01-08 23:00:00,-82.08151795064168
2005-01-09 00:00:00,-93.63234901229066
2005-01-09 01:00:00,-116.60650759178748
2005-01-09 02:00:00,-112.10241764697639
2005-01-09 03:00:00,-130.6280118585903
2005-01-09 04:00:00,-146.3730557947281
2005-01-09 05:00:00,-180.78601038346528
2005-01-09 06:00:00,-216.84806098241552
2005-01-09 07:00:00,-227.5289623759718
2005-01-09 08:00:00,-207.73350469869274
2005-01-09 09:00:00,-167.39057973890112
2005-01-09 10:00:00,-137.17846393937634
2005-01-09 11:00:00,-152.91687435677795
2005-01-09 12:00:00,-118.63108249212928
2005-01-09 13:00:00,-119.52448080226577
2005-01-09 14:00:00,-103.98875736475611
2005-01-09 15:00:00,-121.80527579772661
2005-01-09 16:00:00,-125.43936832891268
2005-01-09 17:00:00,-83.92849993832942
2005-01-09 18:00:00,-103.1230518201869
2005-01-09 19:00:00,-126.1764164497572
2005-01-09 20:00:00,-154.5607871197608
2005-01-09 21:00:00,-141.39121639145242
2005-01-09 22:00:00,-164.64032641324047
2005-01-09 23:00:00,-152.7913392094042
2005-01-10 00:00:00,-157.82699777917492
2005-01-10 01:00:00,-146.40045483797167
2005-01-10 02:00:00,-152.6932789483942
2005-01-10 03:00:00,-83.48159038379276
2005-01-10 04:00:00,-34.53942916469441
2005-01-10 05:00:00,-30.14458096201861
2005-01-10 06:00:00,29.348795152970524
2005-01-10 07:00:00,61.216020944290904
2005-01-10 08:00:00,-66.03311528958284
2005-01-10 09:00:00,-146.99648277410142
2005-01-10 10:00:00,-112.33400301467191
2005-01-10 11:00:00,-106.68784925508135
2005-01-10 12:00:00,-86.70514529352249
2005-01-10 13:00:00,-96.01851310179109
2005-01-10 14:00:00,-115.1334749926541
2005-01-10 15:00:00,-74.28619328675381
2005-01-10 16:00:00,-47.429143179540006
2005-01-10 17:00:00,1.7991090160853673
2005-01-10 18:00:00,-94.18723720044682
2005-01-10 19:00:00,-154.50126486448698
2005-01-10 20:00:00,-172.1033670971865
2005-01-10 21:00:00,-163.79486986784332
2005-01-10 22:00:00,-163.14402231599934
2005-01-10 23:00:00,-162.5969025534073
2005-01-11 00:00:00,-161.009106427877
2005-01-11 01:00:00,-113.60929540683765
2005-01-11 02:00:00,-137.0545200294889
2005-01-11 03:00:00,-145.65141400902144
2005-01-11 04:00:00,-145.01130507189077
2005-01-11 05:00:00,-160.53228969831753
2005-01-11 06:00:00,-177.93872155067766
2005-01-11 07:00:00,-199.31655204237086
2005-01-11 08:00:00,-240.84134933262112
2005-01-11 09:00:00,-154.6131094131356
2005-01-11 10:00:00,-88.81368860068187
2005-01-11 11:00:00,-53.85787106933458
2005-01-11 12:00:00,-31.612502846016014
2005-01-11 13:00:00,-5.511932049756751
2005-01-11 14:00:00,1.4080063615535892
2005-01-11 15:00:00,13.39924023047206
2005-01-11 16:00:00,40.54379337085129
2005-01-11 17:00:00,60.20053264099306
2005-01-11 18:00:00,35.57043338320409
2005-01-11 19:00:00,-28.37378196544296
2005-01-11 20:00:00,-26.247347243624972
2005-01-11 21:00:00,-92.09691838085473
2005-01-11 22:00:00,-93.11480188439805
2005-01-11 23:00:00,-48.04991114716313
2005-01-12 00:00:00,-59.238356996064795
2005-01-12 01:00:00,-57.21301736322357
2005-01-12 02:00:00,-44.89527496041342
2005-01-12 03:00:00,-52.23629518044777
2005-01-12 04:00:00,-26.152283978478636
2005-01-12 05:00:00,-44.02698847369561
2005-01-12 06:00:00,-43.91896210325967
2005-01-12 07:00:00,-41.90493847977086
2005-01-12 08:00:00,-93.13786276694827
2005-01-12 09:00:00,-101.51774177312927
2005-01-12 10:00:00,-101.95754333384139
2005-01-12 11:00:00,-57.62604688214651
2005-01-12 12:00:00,-5.596056863587819
2005-01-12 13:00:00,18.629613719868757
2005-01-12 14:00:00,8.89487223281617
2005-01-12 15:00:00,17.950505077343678
2005-01-12 16:00:00,1.304760406585956
2005-01-12 17:00:00,85.59606272972223
2005-01-12 18:00:00,84.81411156669856
2005-01-12 19:00:00,-1.6959044553050262
2005-01-12 20:00:00,-64.87139488422508
2005-01-12 21:00:00,-96.40356235610352
2005-01-12 22:00:00,-81.10326532001545
2005-01-12 23:00:00,-39.71383958335423
2005-01-13 00:00:00,-25.05484658072328
2005-01-13 01:00:00,-13.758792455534376
2005-01-13 02:00:00,16.114962409433474
2005-01-13 03:00:00,20.216665029244723
2005-01-13 04:00:00,57.18727416828028
2005-01-13 05:00:00,61.70898914749796
2005-01-13 06:00:00,87.73594922943084
2005-01-13 07:00:00,59.93899301199008
2005-01-13 08:00:00,-42.003868038304745
